seed,workload,policy,mean_speedup,accepted_tokens_per_step,mean_K,n_steps
5,mt_bench,svip,1.1303,2.9326,4.13,5000
5,mt_bench,tapout,1.0015,2.8212,5.134,5000
5,mt_bench,banditspec_ucb,1.2831,2.2002,2.004,5000
5,mt_bench,banditspec_exp3,1.1066,2.4098,3.751,5000
5,mt_bench,eps_greedy,1.2404,1.7762,1.259,5000
5,mt_bench,linucb_content,1.1773,2.5006,3.324,5000
5,mt_bench,nightjar,1.2894,2.0728,1.916,5000
5,mt_bench,oracle_load,1.3396,1.9828,1.518,5000
5,mt_bench,oracle_content,1.3416,2.3048,1.837,5000
5,mt_bench,oracle_loadcontent,1.3896,2.2094,1.794,5000
5,mt_bench,content_only,1.2598,2.5456,2.825,5000
5,mt_bench,load_only,1.3063,2.1802,2.098,5000
5,mt_bench,combined,1.3173,2.1456,1.862,5000
5,mt_bench,oracle,1.4819,2.3852,1.736,5000
5,spec_bench,fixed_1,1.2692,1.8042,1.0,5000
5,spec_bench,fixed_2,1.314,2.422,2.0,5000
5,spec_bench,fixed_4,1.1794,3.2024,4.0,5000
5,spec_bench,fixed_8,0.8381,3.7574,8.0,5000
5,spec_bench,svip,1.0484,3.7298,5.712,5000
5,spec_bench,tapout,1.0088,3.4954,5.91,5000
5,spec_bench,banditspec_ucb,1.3177,2.3664,1.93,5000
5,spec_bench,banditspec_exp3,1.1529,2.8022,3.751,5000
5,spec_bench,eps_greedy,1.3003,2.4518,2.156,5000
5,spec_bench,linucb_content,1.2657,2.7844,3.001,5000
5,spec_bench,nightjar,1.3374,2.4712,2.404,5000
5,spec_bench,oracle_load,1.3901,2.4688,2.333,5000
5,spec_bench,oracle_content,1.3474,2.8018,2.413,5000
5,spec_bench,oracle_loadcontent,1.4247,2.3834,1.885,5000
5,spec_bench,content_only,1.2992,2.0996,1.533,5000
5,spec_bench,load_only,1.3549,2.3204,1.935,5000
5,spec_bench,combined,1.3568,2.3876,1.996,5000
5,spec_bench,oracle,1.517,2.583,1.841,5000
6,humaneval,fixed_1,1.3821,1.9068,1.0,5000
6,humaneval,fixed_2,1.5412,2.7126,2.0,5000
6,humaneval,fixed_4,1.5609,3.9906,4.0,5000
6,humaneval,fixed_8,1.2847,5.4286,8.0,5000
6,humaneval,svip,1.3404,5.4228,7.429,5000
6,humaneval,tapout,1.3593,4.8876,6.583,5000
6,humaneval,banditspec_ucb,1.5268,2.6956,2.004,5000
6,humaneval,banditspec_exp3,1.4454,3.5148,3.755,5000
6,humaneval,eps_greedy,1.5281,2.9814,2.451,5000
6,humaneval,linucb_content,1.3905,4.8018,6.421,5000
6,humaneval,nightjar,1.626,3.2194,2.967,5000
6,humaneval,oracle_load,1.6877,2.9934,2.56,5000
6,humaneval,oracle_content,1.6055,3.7308,3.332,5000
6,humaneval,oracle_loadcontent,1.6997,3.2712,3.027,5000
6,humaneval,content_only,1.5871,3.6786,3.377,5000
6,humaneval,load_only,1.6214,3.3458,3.076,5000
6,humaneval,combined,1.5867,2.864,2.31,5000
6,humaneval,oracle,1.8197,3.3462,2.511,5000
6,gsm8k,fixed_1,1.3432,1.7946,1.0,5000
6,gsm8k,fixed_2,1.4236,2.3728,2.0,5000
6,gsm8k,fixed_4,1.2893,3.0406,4.0,5000
6,gsm8k,fixed_8,0.8671,3.4372,8.0,5000
6,gsm8k,svip,1.1773,3.3982,5.042,5000
6,gsm8k,tapout,1.088,3.212,5.619,5000
6,gsm8k,banditspec_ucb,1.3375,1.8088,1.05,5000
6,gsm8k,banditspec_exp3,1.2259,2.6514,3.751,5000
