workload,prompt_idx,policy,error_type,K,accepted_or_entropy
humaneval,13,fixed_1,Under-Drafting,1,0.18024921417236328
humaneval,13,fixed_1,Under-Drafting,1,0.009389625862240791
humaneval,13,fixed_1,Under-Drafting,1,0.090488500893116
humaneval,13,fixed_1,Under-Drafting,1,0.004601053893566132
humaneval,13,fixed_1,Under-Drafting,1,0.046450190246105194
humaneval,14,fixed_1,Under-Drafting,1,0.06899958848953247
humaneval,14,fixed_1,Under-Drafting,1,0.0033637301530689
humaneval,14,fixed_1,Under-Drafting,1,0.12901955842971802
humaneval,14,fixed_1,Under-Drafting,1,0.14678193628787994
humaneval,14,fixed_1,Under-Drafting,1,0.011711901053786278
humaneval,14,fixed_1,Under-Drafting,1,0.1046939417719841
humaneval,14,fixed_1,Under-Drafting,1,0.0014118575491011143
humaneval,14,fixed_1,Under-Drafting,1,0.00046301865950226784
humaneval,14,fixed_1,Under-Drafting,1,0.007969553582370281
humaneval,14,fixed_1,Under-Drafting,1,0.0036072246730327606
humaneval,14,fixed_1,Under-Drafting,1,0.019135985523462296
humaneval,14,fixed_1,Under-Drafting,1,0.11700083315372467
humaneval,14,fixed_1,Under-Drafting,1,0.18954876065254211
humaneval,14,fixed_1,Under-Drafting,1,0.1648295521736145
humaneval,14,fixed_1,Under-Drafting,1,0.16964411735534668
humaneval,14,fixed_1,Under-Drafting,1,0.03348599374294281
humaneval,15,fixed_1,Under-Drafting,1,0.17325562238693237
humaneval,15,fixed_1,Under-Drafting,1,0.008095812983810902
humaneval,15,fixed_1,Under-Drafting,1,0.047718070447444916
humaneval,15,fixed_1,Under-Drafting,1,0.012243942357599735
humaneval,15,fixed_1,Under-Drafting,1,0.015329449437558651
humaneval,15,fixed_1,Under-Drafting,1,0.11013935506343842
humaneval,15,fixed_1,Under-Drafting,1,0.10411480069160461
humaneval,15,fixed_1,Under-Drafting,1,0.1176382526755333
humaneval,15,fixed_1,Under-Drafting,1,0.008561845868825912
humaneval,15,fixed_1,Under-Drafting,1,0.01779971271753311
humaneval,15,fixed_1,Under-Drafting,1,0.010451901704072952
humaneval,15,fixed_1,Under-Drafting,1,0.021454891189932823
humaneval,16,fixed_1,Under-Drafting,1,0.1840510368347168
